POINT_1_STREET;POINT_2_STREET;POINT_1_NAME;POINT_2_NAME;DURATION_IN_SEC;POINT_1_CITY;POINT_2_CITY;POINT_1_LAT;POINT_1_LNG;POINT_2_LAT;NDT_IN_KMH;POINT_2_POSTAL_CODE;POINT_2_COUNTRY;POINT_1_STREET_NUMBER;ORGANISATION;POINT_1_POSTAL_CODE;POINT_2_STREET_NUMBER;;extID;ROAD_TYPE;REPORT_ID;POINT_1_COUNTRY;DISTANCE_IN_METERS;REPORT_NAME;RBA_ID;_id
Søftenvej;Søftenvej;4364;4349;77;Aarhus;Aarhus;56.21497892;10.1396957;56.20852027;70;8200;Denmark;0;COWI;8200;0;;179;MAJOR_ROAD;158895;Denmark;1505;AAR_BT_0020 4364 4349;161062;1586
Grenåvej;Grenåvej;4582;4581;65;Risskov;Risskov;56.18654627;10.21830381;56.19369242;44;8240;Denmark;126;COWI;8240;126;;194;MAJOR_ROAD;178600;Denmark;797;AAR_BT_0101 4582 4581;178660;1601
Skanderborgvej;Viby Ringvej;3987;2651;84;Aarhus;Aarhus;56.13105396;10.16616305;56.13203209;35;8260;Denmark;168;COWI;8260;168;;324;MAJOR_ROAD;187509;Denmark;823;AAR_BT_0231 3987 2651;189702;1731
Grenåvej;Grenåvej;4572;4581;55;Risskov;Risskov;56.19774431;10.22859362;56.19371107;53;8240;Denmark;0;COWI;8240;0;;383;MAJOR_ROAD;190744;Denmark;813;AAR_BT_0291 4572 4581;192392;1790
Holmstrupgårdvej;Holmstrupgårdvej;4337;4336;91;Aarhus;Aarhus;56.16945461;10.11966876;56.17840254;40;8210;Denmark;28;COWI;8220;150;;436;MAJOR_ROAD;195041;Denmark;1015;AAR_BT_0356 4337 4336;229156;1843
Edwin Rahrs Vej;Åby Ringvej;4331;2655;93;Aarhus;Aarhus;56.16257435;10.13915436;56.16786719;42;8210;Denmark;6B;COWI;8220;6B;;455;MAJOR_ROAD;195552;Denmark;1090;AAR_BT_0375 4331 2655;229194;1862
Edwin Rahrs Vej;Anelystvej;4328;4345;127;Aarhus;Tilst;56.15962241;10.07722347;56.16718933;45;8381;Denmark;0;COWI;8220;35;;470;MAJOR_ROAD;197274;Denmark;1572;AAR_BT_0390 4328 4345;229224;1877
Skanderborgvej;Christian X's Vej;4373;4566;72;Aarhus;Aarhus;56.13844852;10.1791506;56.13241046;41;8260;Denmark;106;COWI;8260;35;;594;MAJOR_ROAD;209827;Denmark;829;AAR_BT_0514 4373 4566;229653;2001
Randersvej;Vejlby Centervej;4361;4564;210;Aarhus;Risskov;56.18950967;10.19094022;56.19677547;39;8240;Denmark;0;COWI;8200;7;;604;MAJOR_ROAD;210093;Denmark;2279;AAR_BT_0526 4361 4564;229673;2011
Viby Ringvej;Haveforening Af 1918;2652;3988;137;Aarhus;Aarhus;56.14049609;10.15413296;56.13953207;53;8000;Denmark;104;COWI;8230;4;;317;MAJOR_ROAD;187324;Denmark;2013;AAR_BT_0224 2652 3988;189688;1724
Vestre Ringgade;Viborgvej;3193;3156;64;Aarhus;Aarhus;56.16396941;10.1858444;56.15941871;41;8000;Denmark;53;COWI;8210;14;;341;MAJOR_ROAD;187960;Denmark;737;AAR_BT_0248 3193 3156;189736;1748
Viborgvej;Viborgvej;4335;4347;74;Tilst;Tilst;56.18263729;10.11353144;56.18546282;54;8381;Denmark;389;COWI;8381;389;;426;MAJOR_ROAD;193348;Denmark;1110;AAR_BT_0346 4335 4347;229136;1833
Viborgvej;Viborgvej;4335;4342;73;Tilst;Aarhus;56.18263729;10.11353144;56.1794155;54;8210;Denmark;389;COWI;8381;295;;427;MAJOR_ROAD;193376;Denmark;1093;AAR_BT_0347 4335 4342;229138;1834
Christian X's Vej;Skanderborgvej;4566;4373;71;Aarhus;Aarhus;56.13241046;10.17467748;56.13832298;39;8260;Denmark;35;COWI;8260;107;;593;MAJOR_ROAD;209801;Denmark;773;AAR_BT_0513 4566 4373;229651;2000
Lystrupvej;Djurslandmotorvejen;4346;4327;94;Lystrup;Lystrup;56.2172839;10.23361943;56.22521121;52;8520;Denmark;201;COWI;8520;201;;595;MAJOR_ROAD;209854;Denmark;1358;AAR_BT_0515 4346 4327;229655;2002
Djurslandmotorvejen;Lystrupvej;4327;4346;118;Lystrup;Lystrup;56.22537225;10.24615447;56.2172839;49;8520;Denmark;0;COWI;8520;201;;596;MAJOR_ROAD;209880;Denmark;1595;AAR_BT_0516 4327 4346;229657;2003
Vejlby Centervej;Randersvej;4564;4361;226;Risskov;Aarhus;56.19687844;10.21625178;56.18958131;36;8200;Denmark;7;COWI;8240;210;;603;MAJOR_ROAD;210067;Denmark;2270;AAR_BT_0525 4564 4361;229671;2010
Søftenvej;Søftenvej;4349;4364;79;Aarhus;Aarhus;56.20869704;10.16118658;56.21508593;71;8200;Denmark;0;COWI;8200;0;;180;MAJOR_ROAD;158924;Denmark;1555;AAR_BT_0021 4349 4364;161115;1587
Åby Ringvej;Viby Ringvej;2654;2653;101;Aarhus;Aarhus;56.16019089;10.14325795;56.14815842;52;8230;Denmark;0;COWI;8230;0;;225;MAJOR_ROAD;180601;Denmark;1462;AAR_BT_0132 2654 2653;182198;1632
Nordre Ringgade;Vestre Ringgade;3191;3192;43;Aarhus;Aarhus;56.17122708;10.20138037;56.16945047;40;8200;Denmark;3;COWI;8000;61;;235;MAJOR_ROAD;180872;Denmark;481;AAR_BT_0142 3191 3192;182218;1642
Nørreport;Kystvejen;4374;3187;58;Aarhus;Aarhus;56.16101782;10.21197608;56.16159727;23;8000;Denmark;93;COWI;8000;59;;357;MAJOR_ROAD;190047;Denmark;366;AAR_BT_0264 4374 3187;192340;1764
Grenåvej;Grenåvej;4357;4341;244;Ega;Skødstrup;56.22997155;10.29395506;56.25625596;46;8541;Denmark;534;COWI;8250;0;;370;MAJOR_ROAD;190393;Denmark;3115;AAR_BT_0278 4357 4341;192366;1777
Randersvej;Randersvej;4361;4362;80;Aarhus;Aarhus;56.18958131;10.19111993;56.19922308;54;8200;Denmark;210;COWI;8200;210;;398;MAJOR_ROAD;192600;Denmark;1204;AAR_BT_0314 4361 4362;229080;1805
Vestre Strandalle;Vejlby Ringvej;4351;2661;89;Risskov;Risskov;56.19038745;10.22311078;56.18707126;31;8240;Denmark;70A;COWI;8240;70A;;401;MAJOR_ROAD;192681;Denmark;763;AAR_BT_0317 4351 2661;229086;1808
Grenåvej;Vejlby Centervej;4572;4564;76;Risskov;Risskov;56.19774431;10.22859362;56.19687844;40;8240;Denmark;0;COWI;8240;7;;414;MAJOR_ROAD;193026;Denmark;854;AAR_BT_0334 4572 4564;229112;1821
Edwin Rahrs Vej;Edwin Rahrs Vej;4330;4331;89;Aarhus;Aarhus;56.16254305;10.12591258;56.16257435;33;8220;Denmark;42;COWI;8220;6B;;441;MAJOR_ROAD;195178;Denmark;828;AAR_BT_0361 4330 4331;229166;1848
Hasle Ringvej;Hasle Ringvej;2657;2658;65;Aarhus;Aarhus;56.17491718;10.17161187;56.17862327;50;8200;Denmark;0;COWI;8210;0;;218;MAJOR_ROAD;179336;Denmark;911;AAR_BT_0125 2657 2658;180167;1625
Viby Ringvej;Haveforening Af 1918;2651;3988;119;Aarhus;Aarhus;56.13203209;10.15765884;56.13953207;56;8000;Denmark;0;COWI;8260;4;;319;MAJOR_ROAD;187377;Denmark;1837;AAR_BT_0226 2651 3988;189692;1726
Grenåvej;Grenåvej;4353;4357;140;Ega;Ega;56.21155278;10.27770203;56.22997155;59;8250;Denmark;481;COWI;8250;534;;372;MAJOR_ROAD;190447;Denmark;2282;AAR_BT_0280 4353 4357;192370;1779
Søndre Ringgade;Marselis Boulevard;3979;3990;72;Aarhus;Aarhus;56.14175228;10.19272365;56.13959744;37;8000;Denmark;15;COWI;8000;135;;577;MAJOR_ROAD;206184;Denmark;740;AAR_BT_0497 3979 3990;229619;1984
Holmstrupgårdvej;Edwin Rahrs Vej;4337;4330;100;Aarhus;Aarhus;56.16945461;10.11966876;56.16254305;37;8220;Denmark;28;COWI;8220;42;;585;MAJOR_ROAD;206396;Denmark;1016;AAR_BT_0505 4337 4330;229635;1992
Edwin Rahrs Vej;Holmstrupgårdvej;4330;4337;88;Aarhus;Aarhus;56.16254305;10.12591258;56.16945461;41;8220;Denmark;42;COWI;8220;28;;586;MAJOR_ROAD;206422;Denmark;1006;AAR_BT_0506 4330 4337;229637;1993
Jyllands Alle;Søndre Ringgade;4554;3979;119;Aarhus;Aarhus;56.13458496;10.18998071;56.14175228;33;8000;Denmark;0;COWI;8000;15;;591;MAJOR_ROAD;209748;Denmark;1076;AAR_BT_0511 4554 3979;229647;1998
Vejlby Centervej;Randersvej;4564;3155;219;Risskov;Århus N;56.19687844;10.21625178;56.18461478;35;8200;Denmark;7;COWI;8240;141;;605;MAJOR_ROAD;210120;Denmark;2153;AAR_BT_0527 4564 3155;229675;2012
Nordre Ringgade;Grenåvej;3182;3181;99;Aarhus;Risskov;56.17405423;10.21348447;56.18290049;40;8240;Denmark;98;COWI;8200;105;;326;MAJOR_ROAD;187562;Denmark;1099;AAR_BT_0233 3182 3181;189706;1733
Marselis Boulevard;Skanderborgvej;3990;3150;79;Aarhus;Aarhus;56.13959744;10.18663264;56.14251885;34;8000;Denmark;135;COWI;8000;7;;361;MAJOR_ROAD;190153;Denmark;750;AAR_BT_0268 3990 3150;192348;1768
Grenåvej;Grenåvej;4565;4567;40;Risskov;Risskov;56.2026462;10.25068287;56.2005601;53;8240;Denmark;337;COWI;8240;337;;379;MAJOR_ROAD;190637;Denmark;592;AAR_BT_0287 4565 4567;192384;1786
Grenåvej;Ålykkevej;4567;4565;37;Risskov;Risskov;56.20043625;10.24198908;56.20251117;58;8240;Denmark;41;COWI;8240;41;;380;MAJOR_ROAD;190663;Denmark;591;AAR_BT_0288 4567 4565;192386;1787
Paludan-Müllers Vej;Hasle Ringvej;4363;2658;98;Aarhus;Aarhus;56.17932241;10.17533821;56.17862327;29;8200;Denmark;231;COWI;8200;231;;447;MAJOR_ROAD;195339;Denmark;800;AAR_BT_0367 4363 2658;229178;1854
Åby Ringvej;Edwin Rahrs Vej;2655;4331;86;Aarhus;Aarhus;56.16798815;10.15138768;56.16270728;45;8220;Denmark;0;COWI;8210;6B;;456;MAJOR_ROAD;195578;Denmark;1074;AAR_BT_0376 2655 4331;229196;1863
Viborgvej;Anelystvej;4335;4329;141;Tilst;Tilst;56.18263729;10.11353144;56.18277314;22;8381;Denmark;389;COWI;8381;389;;462;MAJOR_ROAD;195737;Denmark;863;AAR_BT_0382 4335 4329;229208;1869
Søndre Ringgade;Marselis Boulevard;3979;3989;62;Aarhus;Aarhus;56.14175228;10.19272365;56.14063267;29;8000;Denmark;15;COWI;8000;15;;575;MAJOR_ROAD;206131;Denmark;505;AAR_BT_0495 3979 3989;229615;1982
Viby Ringvej;Åby Ringvej;2653;2654;108;Aarhus;Aarhus;56.14824209;10.14987431;56.16018043;48;8230;Denmark;0;COWI;8230;0;;226;MAJOR_ROAD;180627;Denmark;1450;AAR_BT_0133 2653 2654;182200;1633
Hasle Ringvej;Viborgvej;2656;3158;73;Aarhus;Aarhus;56.17312782;10.16175769;56.16914803;39;8210;Denmark;27;COWI;8210;165-167;;299;MAJOR_ROAD;185343;Denmark;781;AAR_BT_0206 2656 3158;186251;1706
Christian X's Vej;Christian X's Vej;4550;4563;117;Højbjerg;Højbjerg;56.11025082;10.15371482;56.12004118;43;8270;Denmark;205;COWI;8270;169;;499;MAJOR_ROAD;198059;Denmark;1383;AAR_BT_0419 4550 4563;229463;1906
Marselis Boulevard;Strandvejen;3989;4375;127;Aarhus;Aarhus;56.14063267;10.19891856;56.13673886;27;8000;Denmark;15;COWI;8000;21;;562;MAJOR_ROAD;204113;Denmark;944;AAR_BT_0482 3989 4375;229589;1969
Ringvej Syd;Oddervej;4371;4372;88;Højbjerg;Højbjerg;56.10480213;10.19880408;56.10506953;37;8270;Denmark;172;COWI;8270;172;;563;MAJOR_ROAD;204140;Denmark;909;AAR_BT_0483 4371 4372;229591;1970
Oddervej;Ringvej Syd;4372;4371;72;Højbjerg;Højbjerg;56.10506953;10.20692744;56.10480213;44;8270;Denmark;172;COWI;8270;172;;564;MAJOR_ROAD;204166;Denmark;886;AAR_BT_0484 4372 4371;229593;1971
Ringvej Syd;Oddervej;4371;4378;84;Højbjerg;Højbjerg;56.10480213;10.19880408;56.09926842;42;8270;Denmark;0;COWI;8270;206;;565;MAJOR_ROAD;204193;Denmark;979;AAR_BT_0485 4371 4378;229595;1972
Søndre Ringgade;Søndre Ringgade;3197;3979;68;Aarhus;Aarhus;56.14563851;10.1867623;56.14175228;30;8000;Denmark;63;COWI;8000;15;;571;MAJOR_ROAD;206025;Denmark;569;AAR_BT_0491 3197 3979;229607;1978
Viby Ringvej;Viby Ringvej;2653;2652;58;Aarhus;Aarhus;56.14815842;10.1496946;56.14049609;57;8230;Denmark;0;COWI;8230;104;;227;MAJOR_ROAD;180655;Denmark;913;AAR_BT_0134 2653 2652;182202;1634
Silkeborgvej;Åby Ringvej;3200;2654;90;Aarhus;Aarhus;56.15313589;10.13906037;56.16018043;42;8230;Denmark;521;COWI;8220;521;;306;MAJOR_ROAD;187032;Denmark;1055;AAR_BT_0213 3200 2654;189666;1713
Søren Frichs Vej;Viby Ringvej;3984;2652;91;Aarhus;Aarhus;56.14774074;10.15806073;56.14049609;43;8230;Denmark;80;COWI;8230;104;;316;MAJOR_ROAD;187297;Denmark;1093;AAR_BT_0223 3984 2652;189686;1723
Nørrebrogade;Nordre Ringgade;3152;3183;76;Aarhus;Aarhus;56.16816672;10.20706009;56.17235121;33;8200;Denmark;44;COWI;8000;64B;;330;MAJOR_ROAD;187668;Denmark;691;AAR_BT_0237 3152 3183;189714;1737
Viborgvej;Viborgvej;4339;4342;34;Aarhus;Aarhus;56.17741297;10.1384034;56.1794155;59;8210;Denmark;280;COWI;8210;295;;430;MAJOR_ROAD;194878;Denmark;557;AAR_BT_0350 4339 4342;229144;1837
Genvejen;Genvejen;4560;4549;52;Stavtrup;Hasselager;56.12137955;10.0661298;56.11996007;77;8361;Denmark;46;COWI;8260;46;;477;MAJOR_ROAD;197463;Denmark;1110;AAR_BT_0397 4560 4549;229238;1884
Marselis Boulevard;Strandvejen;4367;3190;48;Aarhus;Aarhus;56.14171142;10.20441591;56.14471913;36;8000;Denmark;0;COWI;8000;36;;588;MAJOR_ROAD;206475;Denmark;476;AAR_BT_0508 4367 3190;229641;1995
Grenåvej;Grenåvej;4582;3181;34;Risskov;Risskov;56.18655112;10.21812478;56.18290049;43;8240;Denmark;125;COWI;8240;105;;195;MAJOR_ROAD;178713;Denmark;406;AAR_BT_0102 4582 3181;180121;1602
Kystvejen;Spanien;3187;3189;199;Aarhus;Aarhus;56.16159727;10.2153897;56.14892751;27;8000;Denmark;59;COWI;8000;63;;203;MAJOR_ROAD;178929;Denmark;1489;AAR_BT_0110 3187 3189;180137;1610
Silkeborgvej;Silkeborgvej;3200;3199;100;Aarhus;Aarhus;56.15313589;10.13906037;56.15461014;41;8230;Denmark;521;COWI;8220;303;;267;MAJOR_ROAD;183037;Denmark;1152;AAR_BT_0174 3200 3199;183603;1674
